date,CPI Prediction,CPI Prediction MoM,Forecasted CPI MoM
2016-05-17,239.79687834123234,0.003850909076521747,0.002
2016-06-16,239.00243847379141,-0.0033129700141902862,0.002
2016-07-15,239.6827934366834,0.0028466444411050507,0.002
2016-08-16,240.60347941629956,0.0038412685633997246,0.002
2016-09-16,241.4810107313986,0.0036472095799608972,0.002
2016-10-18,241.29645268443252,-0.0007642756107699711,0.002
2016-11-17,242.54222654744547,0.005162835380104758,0.002
2016-12-15,243.38194840465476,0.003462167677614758,0.002
2017-01-18,243.83530308720825,0.0018627292842594567,0.002
2017-02-15,243.14889107811044,-0.0028150641043651614,0.002
2017-03-15,244.02976967843992,0.003622795055423511,0.002
2017-05-12,243.25349368461852,-0.003181070878542025,0.002
2017-06-14,243.50397710202554,0.001029721767251468,0.002
2017-07-14,243.90336470170269,0.0016401686922338232,0.002
2017-08-11,244.95432847074275,0.0043089350994620634,0.002
2017-09-14,246.70184010020256,0.007134030414443382,0.002
2017-10-13,246.61969442931965,-0.00033297550942279486,0.002
2017-11-15,247.3898448881919,0.0031228262635487614,0.002
2017-12-13,247.83698934325835,0.0018074487061849887,0.002
2018-01-12,248.91557654496702,0.004352002518134279,0.002
2018-02-14,249.34071200125172,0.0017079503909949167,0.002
2018-03-13,249.63598398354645,0.0011842108732458279,0.002
2018-04-11,250.37961021360562,0.0029788423054752933,0.002
2018-05-10,251.09889503511988,0.0028727771438761263,0.002
2018-06-12,251.0701623463397,-0.00011442777864933973,0.001
2018-07-12,251.54458184591158,0.0018895893288881638,0.002
2018-08-10,251.6170451852334,0.00028807354461801715,0.002
2018-09-13,252.51869968252865,0.003583439653825904,0.002
2018-10-11,253.06617566504525,0.002168061150342071,0.002
2018-11-14,252.33949845839885,-0.0028714908451780152,0.002
2018-12-12,251.95472843464805,-0.0015248109237810947,0.002
2019-01-11,252.45863190779593,0.0019999762508071672,0.002
2019-02-13,253.17945352361886,0.002855206852607095,0.002
2019-03-12,254.37487924501008,0.00472165377069067,0.002
2019-04-10,255.41798683334434,0.004100670598567779,0.002
2019-05-10,254.93770415902102,-0.0018803792179158396,0.002
2019-06-12,254.995567016559,0.00022696861466164897,0.002
2019-07-11,256.22485162119983,0.004820807745889111,0.002
2019-08-13,256.02744420298916,-0.0007704460241136912,0.002
2019-09-12,256.87679557202415,0.003317423144534315,0.002
2019-10-10,257.0812989146356,0.0007961145036712303,0.002
2019-11-13,258.0854630660716,0.003906017884908186,0.002
2019-12-11,258.5162569393983,0.0016691907719592614,0.002
2020-01-14,258.4298575406548,-0.0003342126323753192,0.002
2020-02-13,258.68566886506693,0.00098986752864616,0.002
2020-03-11,257.4256174952109,-0.004870974783351079,0.002
2020-04-10,254.3117263063707,-0.01209627549557335,0.001
2020-05-12,254.68853037602102,0.0014816621912132621,-0.002
2020-06-10,255.9640733416482,0.005008246597300481,-0.001
2020-07-14,258.09045286202974,0.008307335840617602,0.001
2020-08-12,259.07202800000005,0.003803221417473468,0.002
2020-09-11,259.0460995798552,-0.00010008189747467977,0.002
2020-10-13,259.09366205282225,0.00018360621157476054,0.002
2020-11-12,260.2140620414596,0.004324304885578112,0.002
2020-12-10,260.8239868738218,0.002343934941782644,0.001
2021-01-13,261.4052246600732,0.0022284675317556513,0.001
2021-02-10,262.6798778125864,0.004876157904535994,0.002
2021-03-10,265.0231770232141,0.008920741208428451,0.002
2021-04-13,266.04898434706587,0.003870632506084215,0.002
2021-05-12,268.98542395471765,0.011037214123776229,0.003
2021-06-10,271.29424714197853,0.008583450929480652,0.004
2021-07-13,272.22337319575587,0.003424790844499981,0.004
2021-08-11,272.49312128080237,0.0009909071432030458,0.004
2021-09-14,273.81005391200716,0.004832902294982011,0.003
2021-10-13,276.571872078138,0.010086620730947793,0.002
2021-11-10,277.67691415810725,0.003995496981186397,0.004
2021-12-10,279.3883701191447,0.006163479474793343,0.005
2022-01-12,281.7406713894005,0.008419467386035606,0.005
2022-02-10,284.0701182528913,0.008268053213627669,0.005
2022-03-10,287.79860037359646,0.01312521761752472,0.005
2022-04-12,287.1924285835423,-0.002106236059755906,0.005
2022-05-11,291.12569219479883,0.013695568614589426,0.004
2022-06-10,295.1744391338278,0.013907212752352516,0.005
2022-07-13,293.1123660100379,-0.0069859474615787676,0.006
2022-08-10,293.32151345659156,0.0007135401668674213,0.005
2022-09-13,294.31738862544984,0.0033951657930664236,0.003
2022-10-13,296.47483459775816,0.007330338116902535,0.005
2022-11-10,295.5365876953243,-0.003164676366905983,0.005
2022-12-13,294.93364588842945,-0.002040159601207847,0.003
